time (s),position (um),position (bp),intensity
0.0,1.52530248515099,5173,19.5130141445592
0.09984000000000001,1.6324851836392493,5537,53.83038101960726
0.19968000000000002,1.6979675574060198,5759,20.110815428289754
0.29952,1.5795805415867121,5358,45.68322947407731
0.39936000000000005,1.6849836279461692,5715,48.65240765875707
0.4992000000000001,1.577882368964703,5352,4.862443430919802
0.59904,1.8113064911754229,6143,24.65948852363465
0.6988800000000001,1.3636633914841816,4625,50.409589569386945
0.7987200000000001,0.9452763746985429,3206,5.759033322654753
0.8985600000000001,1.0176019062481099,3451,4.172928945329204
0.9984000000000002,1.4507416096414703,4921,3.8656682253924908
1.09824,1.4799726540783422,5020,27.273560249677693
1.19808,1.5186940726653997,5151,61.00838385608707
1.2979200000000002,1.5354650805111958,5208,67.41810046274288
1.3977600000000001,1.5670599154086862,5315,109.35184646044955
1.4976000000000003,1.671280141129629,5669,50.43081786041046
1.5974400000000002,1.605495307815227,5445,60.90636808228868
1.6972800000000001,1.5496289823014027,5256,48.39239712560839
1.7971200000000003,1.8783143744691508,6371,35.9610138402336
1.8969600000000002,1.6378946616679306,5555,51.42161878084973
1.9968000000000004,1.718813614118994,5830,68.81241057739157
2.0966400000000003,1.7568024577309849,5959,79.11025308231042
2.19648,1.612810984614965,5470,24.66159421397437
2.29632,1.6915812771908454,5737,62.01031886667284
2.39616,1.6863284623166659,5720,69.68206075139734
2.4960000000000004,1.6382555749742793,5557,62.95067252942789
2.5958400000000004,1.6737638561485455,5677,58.19843840643509
2.6956800000000003,1.6967760168178665,5755,52.47721222772096
2.7955200000000002,1.5916049735250872,5398,40.28165302104706
2.89536,1.6252363238889507,5512,66.64059012536858
2.9952000000000005,1.7384926950691402,5897,32.62093892154607
3.0950400000000005,1.7656479977028339,5989,31.623500562696883
3.1948800000000004,1.6827505344972078,5707,69.36844716093755
3.2947200000000003,1.7314944675791248,5873,70.4085945696012
3.3945600000000002,1.6461072233099034,5583,47.400527440553326
3.4944000000000006,1.7470781720266124,5926,36.41258182613284
3.5942400000000005,1.6710800487843374,5668,72.23156231970141
3.6940800000000005,1.584020117871132,5373,28.494696576847126
3.7939200000000004,1.686813400354042,5721,45.48850925770143
3.8937600000000003,1.6007664477689796,5429,37.292480453497554
3.9936000000000007,1.504418410498016,5103,40.39445947783326
4.09344,1.6644170746866453,5645,57.173605209413594
4.193280000000001,1.5973908865099102,5418,44.5389031462047
4.293120000000001,1.5668030908486748,5314,51.97636569861419
4.39296,1.6192221191998724,5492,45.68483824629681
4.492800000000001,1.5909627287098058,5396,43.35305809186695
4.59264,1.6291108630662885,5526,65.18614136581424
4.692480000000001,1.4624199512869505,4960,41.516589850452284
4.79232,1.6659514270136873,5650,36.952832994407665
4.8921600000000005,1.5444938459383415,5239,24.87532319074491
4.992000000000001,1.4663823896479615,4974,31.389736509270815
5.09184,1.6000314287868689,5427,44.29546924641388
5.191680000000001,1.5240798985869681,5169,29.98397026152465
5.29152,1.5236324004046393,5168,32.565062539423444
5.391360000000001,1.6048295823706336,5443,33.686507786609795
5.491200000000001,1.534494028539494,5205,25.413082432417205
5.5910400000000005,1.5024251331719902,5096,40.94108252019173
5.690880000000001,1.552749829283102,5267,15.996240724985153
5.79072,1.5899096607164729,5393,41.63961305490958
5.890560000000001,1.4896317618144896,5052,35.84488952294705
5.990400000000001,1.568779571939287,5321,17.58506850799368
6.0902400000000005,1.5298410031169736,5189,24.35223037763393
6.190080000000001,1.5118357741433979,5128,19.26564371369965
6.28992,1.5035750776340304,5100,23.398757698520118
6.389760000000001,1.5653505451284333,5309,36.011727379230685
6.489600000000001,1.5948428773898724,5409,28.58107728329419
6.589440000000001,1.5453143626059764,5241,16.723894938043276
6.689280000000001,1.6357172201211498,5548,38.779266412259325
6.7891200000000005,1.5125332702836833,5130,25.32557412171699
6.888960000000001,1.535020666843506,5206,22.051387473583866
6.988800000000001,1.4206050287981142,4818,42.262153693249026
7.088640000000001,1.5375855234171312,5215,43.04058965034263
7.188480000000001,1.4299094165057948,4850,44.490701732235294
7.288320000000001,1.5281805113399571,5183,44.49706652848817
7.388160000000001,1.5441241397668286,5237,35.04813340553745
7.488000000000001,1.5937483598642275,5406,42.45451380176144
7.587840000000001,1.562162354601507,5298,26.05232731482423
7.687680000000001,1.6255713230892233,5514,22.194454921353127
7.787520000000001,1.5404264183984975,5225,29.847609451914632
7.887360000000001,1.485801458205018,5039,31.61492117502717
7.987200000000001,1.5183841806778626,5150,15.019643919742267
8.087040000000002,1.5870709880314364,5383,37.429852670243704
8.18688,1.5324070748145238,5198,29.619017846951454
8.28672,1.51580873515427,5141,35.210081943326706
8.386560000000001,1.5101544138918483,5122,21.720732356380896
8.486400000000001,1.5556582515435982,5276,35.91224176253512
8.586240000000002,1.5020880647732668,5095,35.149697891730234
8.68608,1.565973435396711,5311,63.8814889345857
8.78592,1.5728021912683576,5335,45.14459087917029
8.885760000000001,1.5630944128627824,5302,36.150829033449575
8.985600000000002,1.50982190163028,5121,35.01894004203547
9.085440000000002,1.4938745960320208,5067,21.3888416510172
9.18528,1.5376761811438375,5215,21.664103026124216
9.285120000000001,1.59756264505523,5419,28.413185684081295
9.384960000000001,1.5726367850919787,5334,25.941142058742933
9.484800000000002,1.5015562182986728,5093,22.460228339340595
9.58464,1.509856891436974,5121,45.67901880241192
9.68448,1.516369152046945,5143,36.9538714459673
9.784320000000001,1.5880625648706133,5386,16.411734906502996
9.884160000000001,1.4679030693203297,4979,32.81256792815315
9.984000000000002,1.5341586619254939,5203,25.042640741804718
10.08384,1.5648159017662475,5307,32.602768355997284
10.18368,1.6182223458674068,5489,26.7725902952265
10.283520000000001,1.5273685944829265,5180,25.955257593761548
10.383360000000001,1.5336632544448308,5202,53.22461527544577
10.483200000000002,1.513002466978048,5132,30.958974103709327
10.58304,1.4994667976891696,5086,75.93868592673383
10.68288,1.5691565306112847,5322,28.869387425770952
10.782720000000001,1.5981223888739742,5420,43.60067441816091
10.882560000000002,1.584477592977271,5374,26.145628093583717
10.982400000000002,1.3753674325010434,4665,53.02021591806234
11.08224,1.4739289875679011,4999,25.950904419377736
11.182080000000001,1.6073686409682746,5452,27.648319915402784
11.281920000000001,1.5502782106408215,5258,27.257767865070758
11.381760000000002,1.6381741182891545,5556,11.313517609990063
11.481600000000002,1.6511515476985847,5600,37.170541926354474
11.58144,1.5634681001934772,5303,26.38236010591046
11.681280000000001,1.5156174439301247,5141,32.944164014122066
11.781120000000001,1.5673356233562605,5316,50.53157541446373
11.880960000000002,1.6342275833089912,5543,33.87456631052705
11.980800000000002,1.5435510606069884,5235,25.780295224160913
12.08064,1.6121125028232737,5468,24.40326541065544
12.180480000000001,1.5073008411852586,5112,23.638903102116167
12.280320000000001,1.5245863734449285,5171,18.221778869685963
12.380160000000002,1.55082857102794,5260,48.79349932355301
12.480000000000002,1.5275350619401962,5181,17.92203221910306
12.57984,1.5542943172191206,5272,26.25521420141912
12.679680000000001,1.5308280765121143,5192,31.213396339549515
12.779520000000002,1.4813190098698814,5024,46.41480490027671
12.879360000000002,1.5379538187522912,5216,31.38807182487171
12.979200000000002,1.5021618720476162,5095,33.237776600810214
13.07904,1.4893620669398295,5052,28.518282667046275
13.178880000000001,1.6062135946520153,5448,31.00894397485831
13.278720000000002,1.5109962895435243,5125,40.544872382559646
13.378560000000002,1.5457167694461211,5243,45.16721807154403
13.478400000000002,1.461492528046574,4957,49.51223768860788
13.578240000000001,1.488175637721339,5048,48.81564798044458
13.678080000000001,1.5651962279381495,5309,29.7772802108853
13.777920000000002,1.5835397535823028,5371,31.914885841820816
13.877760000000002,1.6099101271722538,5460,32.655094966811546
13.977600000000002,1.526712470694819,5178,30.00359009262171
14.077440000000001,1.524839724541168,5172,49.310213008822146
14.177280000000001,1.5381298333110862,5217,42.049164916256174
14.277120000000002,1.50919518329059,5119,44.88732031703457
