time (s),position (um),position (bp),intensity
4.992000000000001,9.39729765020013,31873,107.03606223681663
5.09184,9.706529979194107,32922,123.35205872269653
5.191680000000001,10.198574206916327,34591,130.9091492224662
5.29152,10.195151104357771,34579,144.94815905157066
5.391360000000001,10.054123730957697,34101,157.70557510196733
5.491200000000001,9.874914127014272,33493,143.40249183996804
5.5910400000000005,10.341927504655242,35077,147.13005157055318
5.690880000000001,10.365680789344715,35158,166.4498741951674
5.79072,10.31894208671294,34999,131.57167005289014
5.890560000000001,10.322110521502418,35010,147.2972624066952
5.990400000000001,10.944081124855254,37120,44.86170605368205
6.0902400000000005,11.150269695942672,37819,167.53808751929222
6.190080000000001,11.062443443915635,37521,163.31571326029933
6.28992,11.5408157922279,39144,152.20270501433134
6.389760000000001,12.012518934709425,40743,118.76699493614996
6.489600000000001,12.275748731150763,41636,127.09608525117011
6.589440000000001,11.889720828609953,40327,138.42640534583302
6.689280000000001,11.732333831680236,39793,122.85441664247665
6.7891200000000005,11.60368833813092,39357,151.31966471407915
6.888960000000001,11.638638430469967,39475,115.34926471346623
6.988800000000001,11.347309578596636,38487,107.2561477344063
7.088640000000001,11.0,37309,162.2728713945241
7.188480000000001,11.127763232661147,37743,103.02885151678683
7.288320000000001,11.109212747687197,37680,120.39063744294481
7.388160000000001,11.204784990675147,38004,105.03604650213109
7.488000000000001,11.39421756903068,38646,166.5470971373707
7.587840000000001,11.279642949084923,38258,113.05434588084024
7.687680000000001,11.336824233972305,38452,125.39081297424623
7.787520000000001,11.225149412457403,38073,117.16469402918099
7.887360000000001,10.811118378187034,36669,139.60468918697225
7.987200000000001,10.421461460464885,35347,134.40256658449027
8.087040000000002,10.719638578053402,36358,147.60548731875457
8.18688,11.085333207672067,37599,146.38961154608
8.28672,10.913549056771341,37016,118.70763189082047
8.386560000000001,11.06809293050976,37540,134.7181785969112
8.486400000000001,11.007146666088875,37333,112.00276701669239
8.586240000000002,11.098673674056666,37644,110.77762619233943
8.68608,10.866427618786002,36856,134.75214108005974
8.78592,11.147019381086292,37808,125.1841850151915
8.885760000000001,11.164864348291328,37868,106.67896220111565
8.985600000000002,11.139944960845382,37784,146.622720488242
9.085440000000002,11.158660484729527,37847,117.08903524026532
9.18528,11.311405172246912,38365,102.48360935715223
9.285120000000001,11.453941840648055,38849,120.42041724096387
9.384960000000001,11.73146601109624,39790,134.21312033159802
9.484800000000002,11.852379961975801,40200,142.52234449889733
9.58464,11.824964649564729,40107,140.84439693200434
9.68448,11.916000769510713,40416,128.79115456817945
9.784320000000001,11.957989019111924,40558,128.49743673359177
9.884160000000001,11.979804354125303,40632,113.6276556741475
9.984000000000002,11.762166249436426,39894,132.3648365160451
10.08384,11.901016496824958,40365,129.00318677341616
10.18368,11.670384771764963,39583,128.80106015908717
10.283520000000001,11.299361556898118,38325,121.99821202130252
10.383360000000001,11.275064090367101,38242,134.29227116689816
10.483200000000002,11.343401438179106,38474,136.1572708048561
10.58304,11.745009892105706,39836,141.66206500917008
10.68288,11.672951078662207,39592,126.09474995382688
10.782720000000001,11.487543272516588,38963,140.2592562952532
10.882560000000002,11.54786331057097,39167,148.2665657915125
10.982400000000002,11.538610183426282,39136,119.91283802953657
11.08224,11.773970430461388,39934,114.85455200439158
11.182080000000001,11.96670524366367,40588,120.31061203058411
11.281920000000001,11.87899465384737,40291,153.7788162657476
11.381760000000002,12.032268588384802,40810,154.49407541947053
11.481600000000002,12.26028706879306,41584,139.56753750545175
11.58144,12.345845985803086,41874,145.44142188424874
11.681280000000001,12.24102043931461,41518,128.12530413440933
11.781120000000001,12.349268044521754,41886,167.98661540906048
11.880960000000002,12.284818160481953,41667,105.42352864457246
11.980800000000002,12.272374148308149,41625,131.38144369273314
12.08064,12.230542315138932,41483,158.1481232950928
12.180480000000001,12.15081378158363,41213,131.10057283040183
12.280320000000001,12.304291446506365,41733,112.69693340888368
12.380160000000002,12.32664744751847,41809,121.27073649654871
12.480000000000002,12.435118519387256,42177,147.22049138298115
12.57984,12.505117406924667,42414,136.1805476312966
12.679680000000001,12.498068061725125,42390,121.88584783216454
12.779520000000002,11.82721232980706,40115,95.8362486186616
12.879360000000002,11.34980184948829,38496,119.27763860651562
12.979200000000002,11.14357259751022,37796,122.62180878421321
13.07904,11.266723230618492,38214,138.75889036340632
13.178880000000001,11.28974298001517,38292,172.55113117372403
13.278720000000002,11.209910846424501,38021,125.7321486957261
13.378560000000002,10.938406142124872,37100,132.04500955216562
13.478400000000002,10.74306164256333,36438,122.69006528320489
13.578240000000001,10.686342610981761,36245,140.22711290076398
13.678080000000001,10.915939971069907,37024,156.39027155252214
13.777920000000002,11.337425839838641,38454,149.83125274771854
13.877760000000002,11.256226807024568,38178,121.24896474073566
13.977600000000002,11.152225409620026,37826,129.46877199047793
14.077440000000001,11.240643355333866,38125,149.91854434120177
14.177280000000001,11.338184090739599,38456,125.70614270806539
14.277120000000002,11.641267104352172,39484,95.75735608735283
14.376960000000002,11.668522256128226,39577,145.42603657390498
14.476800000000003,11.585573184635765,39295,140.5863633128205
14.576640000000001,11.730686113166742,39788,129.74349895879908
14.676480000000002,11.828492585474534,40119,116.31960821341112
14.776320000000002,11.608688731134414,39374,137.85605489304442
14.876160000000002,11.704489597383601,39699,116.40713057756913
14.976000000000003,11.549610586978915,39173,138.66550938516443
15.075840000000001,11.775952058218264,39941,127.67129330297969
15.175680000000002,11.598331414028179,39339,138.6658336920414
15.275520000000002,11.703552865985577,39696,141.72654997348528
15.375360000000002,11.830200145602113,40125,141.53689060090846
15.475200000000003,11.859824971875861,40226,133.43693146906688
15.575040000000001,11.796055915076202,40009,129.79911297101157
15.674880000000002,12.167343595393186,41269,176.09289665319784
15.774720000000002,12.256651505753169,41571,146.75200943025794
15.874560000000002,12.334786127221214,41836,165.61535902116825
15.974400000000003,12.614609836091091,42786,117.23706906742032
16.074240000000003,12.80579474979461,43434,121.03329290322431
16.174080000000004,12.6393546556726,42870,124.50618380860286
