time (s),position (um)
4.992000000000001,7.566666666666667
4.992000000000001,7.566666666666667
5.09184,7.5
6.28992,5.7
6.589440000000001,3.8666666666666667
7.288320000000001,4.7
7.987200000000001,2.766666666666667
8.28672,3.166666666666667
8.885760000000001,4.966666666666667
8.985600000000002,4.966666666666667
9.18528,4.133333333333334
9.484800000000002,4.733333333333333
9.984000000000002,4.066666666666666
9.984000000000002,4.066666666666666
10.18368,4.866666666666667
10.782720000000001,3.3666666666666667
10.982400000000002,4.433333333333334
10.982400000000002,4.433333333333334
11.182080000000001,4.066666666666666
11.58144,5.033333333333334
12.180480000000001,3.5333333333333337
12.57984,3.9000000000000004
13.278720000000002,5.666666666666667
13.777920000000002,5.5
13.977600000000002,6.1000000000000005
14.277120000000002,6.1000000000000005
14.277120000000002,5.066666666666666
