time (s),position (um)
4.992000000000001,8.366666666666667
5.29152,9.1
5.890560000000001,9.166666666666668
6.489600000000001,11.233333333333334
7.288320000000001,10.166666666666668
7.288320000000001,10.166666666666668
7.687680000000001,10.133333333333333
7.987200000000001,9.533333333333333
8.28672,9.933333333333334
8.985600000000002,10.100000000000001
9.085440000000002,10.100000000000001
9.884160000000001,11.0
10.483200000000002,10.200000000000001
10.68288,10.8
10.982400000000002,10.433333333333334
11.182080000000001,11.033333333333333
11.281920000000001,11.033333333333333
11.980800000000002,11.200000000000001
12.679680000000001,11.5
12.679680000000001,11.5
12.979200000000002,10.200000000000001
13.578240000000001,9.700000000000001
13.877760000000002,10.266666666666667
15.674880000000002,10.733333333333334
15.674880000000002,10.733333333333334
16.27392,11.8
16.174080000000004,11.8
16.872960000000003,12.133333333333333
17.472,12.266666666666667
17.971200000000003,10.633333333333333
18.869760000000003,9.466666666666667
18.869760000000003,9.4
19.568640000000002,9.600000000000001
20.966400000000004,8.166666666666668
23.16288,6.533333333333333
23.16288,6.533333333333333
23.662080000000003,6.7666666666666675
25.658880000000003,6.9
26.856960000000004,6.1000000000000005
